username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
theunknown_dr,Anonymous Surgeon,https://twitter.com/TheUnknown_Dr/status/1307699982791712774,"""Will you guys help me to report this account

Retweet and ask your friends to do the same please
#SSRDishaHomicide… """,2020-09-20 08:15:00,155,152,89,,0,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiXiM9UUwAEJrTY.jpg
dancingsouls13,Preeti,https://twitter.com/Dancingsouls13/status/1307654526686486528,"""Can anyone explain how this was possible??
Entry in ambulance in folded leg position n exit of straight body...was it the same body??
I still raise the second body question
#SSRDishaHomicide… https",2020-09-20 05:15:00,391,369,44,,0,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiW421HUYAM3-3o.jpg
republic,Republic,https://twitter.com/republic/status/1307714888676945927,"""#SSRDishaHomicide | I was just observing why this case isn't going in the right direction; I was curious why Rohan Rai wasn't called as first witness",2020-09-20 09:15:00,715,361,48,,0,SSRDishaHomicid,1,,
abhishe37384200,Abhishek Kumar || Justice For Sushant Singh Rajput,https://twitter.com/Abhishe37384200/status/1307682289258655744,"""#SSRDishaHomicide
Even a child can clearly see Fabrication Blotch up made by Govt

Destruction of Evidences by Doctors These Doctors shd be charged of Murder 

NCB is excellent
What about CBI?

But still CBI is silent
 WHY?

@patelsoha18 @AzadChidaiya @savage_cyber @_Its_Sakshi… https",2020-09-20 07:05:00,177,221,16,patelsoha18 | AzadChidaiya | savage_cyber | _Its_Sakshi,4,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiXR1BpU0AEyzdP.jpg
republic,Republic,https://twitter.com/republic/status/1307709352019664896,"""#SSRDishaHomicide | Siddharth Pithani is a material witness, and he says SSR fainted and was apprehensive of his own life. We cannot bury it under the carpet",2020-09-20 08:53:00,"1,809",806,104,,0,SSRDishaHomicid,1,,
rupali0023,#JusticeForSushantSinghRajput,https://twitter.com/rupali0023/status/1307658075663249409,"""Stop trusting any fake person claiming anything against Swamy sir without evidence.

@Swamy39 is the one who with @ishkarnBHANDARI made CBI possible in this case.

Let's wait for the AIIMS report to come out ruling out all false narratives ! 

BEWARE GUYS! 

#SSRDishaHomicide… https",2020-09-20 05:29:00,266,271,32,Swamy39 | ishkarnBHANDARI,2,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiW8FaxU4AA6nSE.jpg
republic,Republic,https://twitter.com/republic/status/1307711118224183296,"""#SSRDishaHomicide | 2 deaths are intertwined. Disha called '100'. It is impossible for Police not to react to a '100' call unless there's hydraulic pressure. If one dials '100' & cuts, immediately police calls back",2020-09-20 09:00:00,461,223,21,,0,SSRDishaHomicid,1,,
nistha3101,N!sth@,https://twitter.com/Nistha3101/status/1307651735398219776,"""DON'T TRUST THIS FRAUD @vibhor_anand
He's trying to mislead us
On 14 June His so called sources told Him, Sushant was Depressed and Committed Suicide.

DON'T TRUST HIM??

BLOCK AND REPORT THIS FRAUD.

Trust @ishkarnBHANDARI @Swamy39 sir

#SSRDishaHomicide
 https",2020-09-20 05:04:00,361,321,41,vibhor_anand | ishkarnBHANDARI | Swamy39,3,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiWw056UMAA-Quz.jpg | https://pbs.twimg.com/media/EiWw1GEUcAA9FL7.jpg | https://pbs.twimg.com/media/EiWw1bzU8AA3-4A.jpg | https://pbs.twimg.com/media/EiWw1rDUMAIQeYy.jpg
kanganaoffical,Kangana Ranaut,https://twitter.com/KanganaOffical/status/1307712191336914945,"""I request CBI to arrest rohan Rai else  Gundas Of Maharashtra Government will destroy the Remaining Evidences.

#SSRDishaHomicide""",2020-09-20 09:04:00,"6,689","2,138",300,,0,SSRDishaHomicid,1,,
rupali0023,#JusticeForSushantSinghRajput,https://twitter.com/rupali0023/status/1307659456885346304,"""I was not in movement for this day.
It's shameful that you have become so blind that you are believing any stories n person and trending shit.

Remember 9th july, when no one was with us, @Swamy39 sir & @ishkarnBHANDARI was there.

Have some shame! Think Wisely!
#SSRDishaHomicide… https",2020-09-20 05:34:00,252,236,27,Swamy39 | ishkarnBHANDARI,2,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiW9V1mU0AAFJKv.jpg
iravitiwari,Ravi Tiwari Bihari,https://twitter.com/iRaviTiwari/status/1307675758198812672,"""Ek Pagal Twitter pe.... 

#SSRDishaHomicide""",2020-09-20 06:39:00,"2,231",950,110,,0,SSRDishaHomicid,1,,
ssrfssrians,Jalpa(||SSRF||||ISBP||),https://twitter.com/ssrfssrians/status/1307651979104067584,"""Dear SSRIANS WHAT happend to you all? 

We all are warriors na 

How come u all forgot that bcz of @Swamy39 sir we reached here ..

When no one was there that time swamy sir & @ishkarnBHANDARI sir stood by us so how come u all come in this👇 person influence. 
#SSRDishaHomicide… https",2020-09-20 05:05:00,290,283,54,Swamy39 | ishkarnBHANDARI,2,SSRDishaHomicid,1,,https://pbs.twimg.com/media/EiW2hQ6VgAUvets.jpg
jaz_baatein,Ganesh Iyer,https://twitter.com/Jaz_baatein/status/1307563043501400064,"""Any crime in India can go Unoffence/Unpunishable if @BJP4India is blamed and attacked under New India???
#DishaSalianMurder 
#SushantWasMurdered 
#BollywoodDrugMafia
@anuragkashyap72 Sexual Charges
#JayaBacchan 
@amitmalviya 
@AmitShah 
@narendramodi… https",2020-09-19 23:11:00,1,,0,BJP4India | anuragkashyap72 | amitmalviya | AmitShah | narendramodi,5,DishaSalianMurd | SushantWasMurde | BollywoodDrugMa | JayaBacchan,4,,
sudhirgagrawal,CA Sudhir G Agrawal,https://twitter.com/SudhirGAgrawal/status/1307402270393262080,"""'B'ad characters aplenty
c'O'uches unabated
'L'usty directors
'L'onely girls abused
drugg'Y' role models
'W'onder boys murdered 
'O'wl spectators waste savings
pure s'O'uls are scarce
'D'ark secrets abound

#BollywoodDarkSecrets
#Bollywoodmafia 
#Bollywooddrugmafia… https",2020-09-19 12:32:00,,,0,,0,BollywoodDarkSe | Bollywoodmafia | Bollywooddrugma,3,,
entgyaan,Entertainment Gyaan,https://twitter.com/entgyaan/status/1306352851904462849,"""Is #RheaChakraborty really guilty? Find out in this video",2020-09-16 15:02:00,,,0,,0,RheaChakraborty,1,,
,,https://twitter.com/Anitajoseph163/status/1307224065669652481,"""@anuragkashyap72 this man knows all these drug related details very well....'decade ago' stories as well 🤣🤣🤣🤣 shameless... #Bollywooddrugmafia #bollywooddrugsgang… https",2020-09-19 00:44:00,3,1,0,anuragkashyap72,1,Bollywooddrugma | bollywooddrugsg,2,,
glitzyolo,surya,https://twitter.com/Glitzyolo/status/1307946564145483776,"""Terror linked to #Bollywooddrugmafia ?!""",2020-09-21 00:35:00,,,0,,0,Bollywooddrugma,1,,
hmtvnewslive,hmtv News,https://twitter.com/hmtvnewslive/status/1306083282358906880,"""పార్లమెంట్ లో బాలీవుడ్  డ్రగ్స్ రగడ..| Jaya Bachan Fires on MP Ravi Kishan in Parliament | hmtvnewslive 
#jayabachan #RaviKishan #BollywoodDrugMafia  #Parliament #hmtvnewslive 
Watch on youtube >>https",2020-09-15 21:11:00,,,0,,0,jayabachan | RaviKishan | BollywoodDrugMa | Parliament | hmtvnewslive,5,,
bipinandsingh,Bipin Kumar Singh,https://twitter.com/BipinAndSingh/status/1308054127881019393,"""So if we go by the news channels only female actresses are the biggest consumers of drugs. What about A listers male actors ? Are they all clean ? Some of them were even admitted to hospital for overdose of drugs. Let the names come out @narcoticsbureau . #Bollywooddrugmafia""",2020-09-21 07:43:00,1,1,0,narcoticsbureau,1,Bollywooddrugma,1,,
,,https://twitter.com/kamesh72739968/status/1307695697286672385,"""He is also part of the #BollywoodDrugGang #Bollywooddrugmafia… """,2020-09-20 07:58:00,1,,0,,0,BollywoodDrugGa | Bollywooddrugma,2,,
